Name,Age,Position,Finishing,Passing,Pacing,Defending,Keeping,Attacking,Defensive,Level,Overall
Luiz Henrique da Cunha,33,Goleiro,0.0,134.0,125.0,122.5,196.0,259.0,443.5,1,702.5
Pietro Barbosa,25,Zagueiro,212.9,235.25,236.0,299.2,0.0,684.15,535.2,2,1219.35
Cauã da Luz,34,Zagueiro,312.6,325.5,334.5,396.0,0.0,972.6,730.5,3,1703.1
Dr. Ryan Nunes,35,Lateral,232.0,261.5,236.0,246.5,0.0,729.5,482.5,2,1212.0
Felipe das Neves,23,Lateral,336.8,366.0,337.2,357.0,0.0,1040.0,694.2,3,1734.2
Erick Rocha,35,Meio-campista,442.0,500.0,433.6,439.0,0.0,1375.6,872.6,4,2248.2
Luiz Otávio Peixoto,21,Meio-campista,140.8,184.0,128.8,150.0,0.0,453.6,278.8,1,732.4000000000001
Dr. Diego Gomes,30,Meio-campista,154.0,164.0,139.2,139.0,0.0,457.2,278.2,1,735.4
João Miguel Almeida,21,Meio-campista,539.6,598.0,538.4,548.0,0.0,1676.0,1086.4,5,2762.4
Breno Moura,33,Atacante,174.0,145.0,152.5,124.0,0.0,471.5,276.5,1,748.0
Samuel da Conceição,34,Atacante,482.0,433.0,463.0,417.0,0.0,1378.0,880.0,4,2258.0
Dr. Otávio Pereira,35,Goleiro,0.0,141.0,121.0,121.0,244.0,262.0,486.0,1,748.0
Lucca Cardoso,34,Zagueiro,315.0,332.25,334.5,424.8,0.0,981.75,759.3,3,1741.05
Paulo Pereira,30,Zagueiro,210.5,234.5,230.75,312.0,0.0,675.75,542.75,2,1218.5
Yago Mendes,34,Lateral,239.2,270.5,239.6,251.0,0.0,749.3,490.6,2,1239.9
Dr. Lucas Gabriel Jesus,20,Lateral,125.6,145.0,140.8,154.0,0.0,411.40000000000003,294.8,1,706.2
Davi Luiz Lima,33,Meio-campista,442.0,484.0,432.8,433.0,0.0,1358.8,865.8,4,2224.6
Luigi da Rocha,22,Meio-campista,445.6,492.0,432.8,440.0,0.0,1370.4,872.8,4,2243.2
Breno Freitas,30,Meio-campista,149.2,172.0,125.6,136.0,0.0,446.79999999999995,261.6,1,708.4
Davi Costela,30,Meio-campista,139.6,196.0,125.6,145.0,0.0,461.20000000000005,270.6,1,731.8000000000001
Lucca Peixoto,22,Atacante,198.0,149.0,164.5,124.0,0.0,511.5,288.5,1,800.0
Emanuel Lima,34,Atacante,164.0,136.0,163.0,121.5,0.0,463.0,284.5,1,747.5
Rafael Moraes,28,Goleiro,0.0,435.0,419.5,423.0,496.0,854.5,1338.5,4,2193.0
Dr. Arthur Vieira,23,Zagueiro,110.5,136.0,125.5,215.2,0.0,372.0,340.7,1,712.7
Guilherme Costela,24,Zagueiro,212.9,229.25,234.5,334.4,0.0,676.65,568.9,2,1245.55
Luiz Otávio Caldeira,27,Lateral,134.4,145.0,139.6,172.0,0.0,419.0,311.6,1,730.6
Sr. Lorenzo da Luz,27,Lateral,126.4,172.0,156.4,155.5,0.0,454.79999999999995,311.9,1,766.6999999999999
Bruno da Mota,31,Meio-campista,245.6,270.0,228.8,249.0,0.0,744.4000000000001,477.8,2,1222.2
Vicente da Rosa,31,Meio-campista,257.6,268.0,239.2,237.0,0.0,764.8,476.2,2,1241.0
Antônio Ribeiro,28,Meio-campista,138.4,178.0,140.0,134.0,0.0,456.4,274.0,1,730.4
Pedro Lucas Duarte,32,Meio-campista,146.8,194.0,137.6,140.0,0.0,478.4,277.6,1,756.0
Davi Fogaça,21,Atacante,286.0,235.0,269.0,220.5,0.0,790.0,489.5,2,1279.5
Sr. João Felipe Silveira,24,Atacante,500.0,441.0,445.0,425.0,0.0,1386.0,870.0,4,2256.0
Danilo Fernandes,29,Goleiro,0.0,341.0,322.5,322.5,435.0,663.5,1080.0,3,1743.5
João Miguel Costela,30,Zagueiro,213.2,225.5,230.0,324.8,0.0,668.7,554.8,2,1223.5
Marcos Vinicius Martins,32,Zagueiro,112.9,131.5,126.25,234.4,0.0,370.65,360.65,1,731.3
Davi Lucca Porto,33,Lateral,324.0,366.0,348.0,369.0,0.0,1038.0,717.0,3,1755.0
Augusto da Cruz,23,Lateral,237.6,246.5,254.0,248.0,0.0,738.1,502.0,2,1240.1
Dr. Benjamin Nunes,21,Meio-campista,154.0,174.0,134.4,141.0,0.0,462.4,275.4,1,737.8
Marcelo da Luz,25,Meio-campista,152.8,180.0,134.4,140.0,0.0,467.20000000000005,274.4,1,741.6
João Pedro Aragão,25,Meio-campista,140.8,162.0,127.2,130.0,0.0,430.0,257.2,1,687.2
Pedro Farias,31,Meio-campista,157.6,180.0,138.4,149.0,0.0,476.0,287.4,1,763.4
Fernando Costela,32,Atacante,294.0,247.0,248.0,221.5,0.0,789.0,469.5,2,1258.5
João Gabriel Monteiro,28,Atacante,168.0,133.0,167.5,121.0,0.0,468.5,288.5,1,757.0
João Lucas Mendes,33,Goleiro,0.0,250.0,224.0,223.0,335.0,474.0,782.0,2,1256.0
Sr. Erick Teixeira,31,Zagueiro,112.3,124.0,136.0,199.2,0.0,372.3,335.2,1,707.5
Davi Lucca Barbosa,29,Zagueiro,313.2,327.0,326.25,437.6,0.0,966.45,763.85,3,1730.3000000000002
Luiz Henrique Pereira,30,Lateral,428.0,460.0,452.8,475.0,0.0,1340.8,927.8,4,2268.6
Alexandre Dias,31,Lateral,237.6,252.5,237.2,257.0,0.0,727.3,494.2,2,1221.5
Lucas Cardoso,24,Meio-campista,142.0,190.0,137.6,148.0,0.0,469.6,285.6,1,755.2
Benjamin Melo,32,Meio-campista,248.0,270.0,232.8,245.0,0.0,750.8,477.8,2,1228.6
Kaique Cavalcanti,35,Meio-campista,140.8,194.0,135.2,130.0,0.0,470.0,265.2,1,735.2
Kaique Lima,21,Meio-campista,144.4,160.0,134.4,147.0,0.0,438.79999999999995,281.4,1,720.1999999999999
Calebe Caldeira,21,Atacante,276.0,246.0,246.5,221.5,0.0,768.5,468.0,2,1236.5
Sr. Miguel Ramos,34,Atacante,360.0,334.0,369.0,316.5,0.0,1063.0,685.5,3,1748.5
